Row,Model,GLbins,Wavelength,Reconstruction,Residual
original_firstorder_10Percentile,0.483176514371808,2.1070993887414e-31,0.00982109919841429,0.120330735132793,0.386671651296985
original_firstorder_90Percentile,0.13887975645619,3.68035839401128e-31,0.00637648975064455,0.730335239634822,0.124408514158344
original_firstorder_Energy,0.261039833987052,1.59894763073923e-32,0.0167021107055566,0.418609512918779,0.303648542388613
original_firstorder_Entropy,0.00866397389240247,0.98636296452857,0.000144671412809567,0.00328780002817985,0.00154059013803853
original_firstorder_InterquartileRange,0.0616451467818065,0,0.010514382401043,0.862970618047528,0.0648698527696223
original_firstorder_Kurtosis,0.840632065480222,3.44963776389705e-31,0.00541659528498437,0.0905381397128729,0.0634131995219203
original_firstorder_Maximum,0.133915799004254,0,0.00993509487210704,0.715028501643816,0.141120604479822
original_firstorder_Mean,0.172275696887918,3.39872168822682e-31,0.00412496651765053,0.677206893057201,0.146392443537231
original_firstorder_MeanAbsoluteDeviation,0.102590293504677,1.58420604234162e-32,0.0103700866237374,0.78456414201227,0.102475477859316
original_firstorder_Median,0.147031573209544,0,0.0036833040411349,0.727244339926534,0.122040782822787
original_firstorder_Minimum,0.130110941758444,0,0.0307252603569205,0.654309855174768,0.184853942709868
original_firstorder_Range,0.133610684839385,0,0.0125997483858405,0.70599899842161,0.147790568353165
original_firstorder_RobustMeanAbsoluteDeviation,0.0693942798453038,1.83322202827724e-31,0.0105442073828877,0.848198526286598,0.0718629864852101
original_firstorder_RootMeanSquared,0.152421988768311,1.17386377811585e-32,0.00636538216877948,0.704750412833891,0.136462216229019
original_firstorder_Skewness,0.900545369414262,3.55640082145415e-30,0.0181853957162651,0.0470761227207132,0.0341931121487593
original_firstorder_TotalEnergy,0.261039833987052,3.08438922953969e-32,0.0167021107055565,0.418609512918779,0.303648542388613
original_firstorder_Uniformity,0.0117510579514165,0.967469397321535,0.000213665973190943,0.004645840777555,0.0159200379763029
original_firstorder_Variance,0.23327245062345,8.39898775079138e-32,0.0277649512347491,0.43420752381858,0.304755074323222
original_glcm_Autocorrelation,2.47780259044125e-08,0.968862069681166,0.00224445314505707,0.0028719625282575,0.0260214898674939
original_glcm_ClusterProminence,0.00248078412393647,0.924912058620493,0.000320553098436821,0.00677131849123656,0.0655152856658969
original_glcm_ClusterShade,0.0394085249769305,0.802155986949239,0.00121072852043444,0.0011826283232099,0.156042131230186
original_glcm_ClusterTendency,0.00517857448473196,0.939653553001231,0.000702056889403137,0.0075311265571385,0.0469346890674959
original_glcm_Contrast,7.64010194502351e-06,0.995758899196476,0.000145666056701513,0.000244239651688388,0.00384355499318889
original_glcm_Correlation,0.0141557046022262,0.856555148141762,0.0097182349723848,0.0982024299250888,0.0213684823585386
original_glcm_DifferenceAverage,0.00104869477656866,0.995299816473983,0.000116736091073705,0.000345628701622064,0.00318912395675219
original_glcm_DifferenceEntropy,0.000382846409125363,0.998734390773874,0.000101799451539721,7.66413768484589e-05,0.000704321988612477
original_glcm_DifferenceVariance,0.000648190119393398,0.995258098081689,0.000175567226981595,1.98982738013071e-06,0.00391615474455564
original_glcm_Id,0.00290571133465519,0.995208062209956,0.000145849438629273,0.0001621969779857,0.0015781800387743
original_glcm_Idm,0.00287606691698431,0.995108728920707,0.000142399144774317,0.000151409666158692,0.00172139535137583
original_glcm_Idmn,0.000549853810377898,0.980021483752599,0.00124955835592547,0.0025714248915972,0.0156076791895005
original_glcm_Idn,0.335382335182225,0.16439842013909,0.0331697912315841,0.10814867428267,0.358900779164432
original_glcm_Imc1,0.00645215184081887,0.962456325665715,0.0054499592178301,0.020327770189448,0.00531379308618751
original_glcm_Imc2,0.0311624219061214,0.898708214480324,0.00411381367262062,0.0293761615980206,0.0366393883429132
original_glcm_InverseVariance,0.000997896211911937,0.972616572608543,4.85248739477793e-05,4.18295282807518e-05,0.0262951767773169
original_glcm_JointAverage,0.000118032618201663,0.989889179171823,0.00148209843077057,0.00144374098807152,0.00706694879113356
original_glcm_JointEnergy,0.00755280514473388,0.965405484455213,0.000240581090290423,0.00344007971737694,0.0233610495923854
original_glcm_JointEntropy,0.00423320103470323,0.99281994831042,6.84400591347582e-05,0.00164477104426902,0.00123363955147282
original_glcm_MCC,0.0231601025706604,0.881113378401535,0.00801368802737803,0.0447717578895369,0.0429410731108901
original_glcm_MaximumProbability,0.0105761913368527,0.966700701883246,0.000274393774926688,0.00383731832361724,0.0186113946813573
original_glcm_SumAverage,0.000118032618201656,0.989889179171822,0.00148209843077058,0.00144374098807152,0.00706694879113401
original_glcm_SumEntropy,0.00693505989523082,0.988087087502934,0.000170315293994974,0.00332376223543376,0.00148377507240638
original_glcm_SumSquares,0.00479816019748701,0.943485313044551,0.000632224770007483,0.00705993869888913,0.0440243632890657
original_gldm_DependenceEntropy,0.0119022762023841,0.974684133947791,0.000407189822649393,0.0069809376096624,0.00602546241751267
original_gldm_DependenceNonUniformity,0.0837430033652899,0.882815167272125,0.0001470684190564,8.45751337251464e-05,0.0332101858098037
original_gldm_DependenceNonUniformityNormalized,0.00348302778933631,0.966856924513917,0.000202843715115571,8.77379791695584e-05,0.029369466002461
original_gldm_DependenceVariance,0.0074481142205906,0.973557763565048,0.000227069086402799,0.000857584522041614,0.0179094686059172
original_gldm_GrayLevelNonUniformity,0.0677808670742402,0.875763384304795,0.000166758629204979,0.00353791350582161,0.052751076485938
original_gldm_GrayLevelVariance,0.00732898838273646,0.938274905918588,0.000502961766417994,0.00633542409447955,0.0475577198377781
original_gldm_HighGrayLevelEmphasis,7.7763912682736e-05,0.969368582091575,0.00206069384571815,0.00280348687377635,0.0256894732762477
original_gldm_LargeDependenceEmphasis,0.00360054644542157,0.993273187258415,0.000147636010530387,0.000156258829523295,0.00282237145610953
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.0202166883877793,0.884237061521597,0.0209616124620405,0.00817736016505602,0.0664072774635271
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.00125514421618661,0.979091508398761,0.0013934501262208,0.00104584081054679,0.017214056448285
original_gldm_LowGrayLevelEmphasis,0.00348736664927752,0.975474376017675,0.00152505747982965,0.00117648195147318,0.0183367179017446
original_gldm_SmallDependenceEmphasis,0.00320783008203492,0.991120154460842,0.0003014780959862,3.83615891546259e-05,0.00533217577198208
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.000520061943111477,0.97281808407057,0.000649819600501683,0.00181248080811086,0.024199553577706
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0433656903230599,0.866414052555983,0.00636098478077879,0.0214538097942339,0.062405462545944
original_glrlm_GrayLevelNonUniformity,0.165639516378746,0.798044271926046,0.000496770455804564,0.00742831854709205,0.028391122692311
original_glrlm_GrayLevelNonUniformityNormalized,0.00863958605907224,0.982233603908745,7.94580929142709e-05,0.00285122924520092,0.00619612269406777
original_glrlm_GrayLevelVariance,0.00586317151313502,0.943879657857204,0.00049152531698564,0.00615352816901774,0.0436121171436581
original_glrlm_HighGrayLevelRunEmphasis,2.83978143860829e-05,0.970147373565814,0.00204188712879857,0.00277336988774006,0.0250089716032615
original_glrlm_LongRunEmphasis,0.000778155875550745,0.975272613277518,0.000231152775731138,1.31984304434086e-05,0.0237048796407568
original_glrlm_LongRunHighGrayLevelEmphasis,0.000527317322465129,0.962937960726265,0.00570941206291453,0.00481299021108514,0.0260123196772702
original_glrlm_LongRunLowGrayLevelEmphasis,0.000281111467754974,0.967959471826104,0.00125478953111371,0.000141241478345403,0.0303633856966824
original_glrlm_LowGrayLevelRunEmphasis,0.00420848598446708,0.972071920933535,0.00157427923410721,0.00144474823114313,0.0207005656167475
original_glrlm_RunEntropy,0.010547348650849,0.963736208508167,0.00161813576337009,0.0186643916286648,0.00543391544894922
original_glrlm_RunLengthNonUniformity,0.0301628054051834,0.946686998956073,0.000213111225304068,6.48435011084282e-05,0.0228722409123313
original_glrlm_RunLengthNonUniformityNormalized,0.00346967292966392,0.994969218923604,0.000153798692860405,2.75018245631879e-05,0.00137980762930812
original_glrlm_RunPercentage,0.00370078412704708,0.994270912888038,0.000170766593711089,7.8060470375433e-05,0.00177947592082817
original_glrlm_RunVariance,0.000800159769539059,0.967364227091007,0.000293734331624775,0.000159926997000303,0.0313819518108289
original_glrlm_ShortRunEmphasis,0.0031089436862898,0.995145298659,0.000169392408097799,0.000156506211670124,0.00141985903494235
original_glrlm_ShortRunHighGrayLevelEmphasis,6.43927974508445e-05,0.970458495937843,0.00184970997056489,0.0026854208419575,0.0249419804521841
original_glrlm_ShortRunLowGrayLevelEmphasis,0.00910977859774333,0.950723181618417,0.00201197438831475,0.00393198710324506,0.03422307829228
original_glszm_GrayLevelNonUniformity,0.0171867770543797,0.945995965286218,0.00220486471391583,0.0073672651154397,0.0272451278300467
original_glszm_GrayLevelNonUniformityNormalized,0.00649369508030967,0.955500372373384,0.000573684293930961,0.00342674954819612,0.0340054987041795
original_glszm_GrayLevelVariance,1.30121380233685e-05,0.979885294689746,0.000288671561682542,0.00366551772627308,0.0161475038842753
original_glszm_HighGrayLevelZoneEmphasis,0.000549696040351961,0.976568850920001,0.00165385093504164,0.00228393836116651,0.0189436637434386
original_glszm_LargeAreaEmphasis,0.049540267800816,0.80471771844695,0.000939344989801908,0.00207758755895425,0.142725081203478
original_glszm_LargeAreaHighGrayLevelEmphasis,0.15371374611795,0.666107632332666,0.0180834352392902,0.00750824636302702,0.154586939947066
original_glszm_LargeAreaLowGrayLevelEmphasis,0.0288621956850397,0.844830221335396,0.000330478608777683,0.000863203109495443,0.125113901261292
original_glszm_LowGrayLevelZoneEmphasis,8.32919210912763e-06,0.979863761421078,0.00219571511862744,0.00110744931825368,0.0168247449499317
original_glszm_SizeZoneNonUniformity,0.00280913387375528,0.985934525144452,0.000432054967271903,0.000296361056530057,0.010527924957991
original_glszm_SizeZoneNonUniformityNormalized,0.0159350938155355,0.903035774057406,0.000945986446079148,0.0498667953343264,0.0302163503466527
original_glszm_SmallAreaEmphasis,0.0196543728018419,0.860793422770466,0.0012296056267654,0.0662325694377427,0.0520900293631835
original_glszm_SmallAreaHighGrayLevelEmphasis,0.000415451189691512,0.98067301219399,0.00110432924370183,0.00154209485273048,0.0162651125198865
original_glszm_SmallAreaLowGrayLevelEmphasis,0.00278259574476085,0.895585610311124,0.0028426099508069,0.0176559858554048,0.0811331981379038
original_glszm_ZoneEntropy,0.0013196061228947,0.967919853395299,9.39392975472271e-05,0.0225450474320464,0.00812155375221313
original_glszm_ZonePercentage,0.00302658278581731,0.990222960356142,0.000282761229837628,3.06992406315643e-06,0.00646462570413975
original_glszm_ZoneVariance,0.0497135887363733,0.804803804145425,0.00091960940205575,0.00198959916083265,0.142573398555313
original_ngtdm_Busyness,0.00828964309171156,0.963187443350837,0.000784705768467098,0.00070572093608387,0.0270324868529003
original_ngtdm_Coarseness,0.642517809386361,0.232989295488914,0.00750913135277547,0.0625504055394222,0.0544333582325273
original_ngtdm_Complexity,1.87301477553058e-05,0.996712022684088,0.000309804718865065,0.000108274291985015,0.00285116815730613
original_ngtdm_Contrast,0.0389662025054685,0.871173064695803,0.000957117236002399,0.012759894680196,0.0761437208825295
original_ngtdm_Strength,0.000657189740681489,0.992950542725043,7.01774661564559e-05,5.94885309707715e-06,0.00631614121502189
